Time, Prediction, raw_pred, S, dbs, dba
2024-07-19 15:36:10.108154, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:36:13.284306, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:36:16.468184, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:36:19.685734, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:36:22.868402, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:37:40.754560, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:37:43.939518, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:08.561245, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:11.745332, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:14.956821, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:18.285836, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:21.507344, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:24.738859, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:27.961444, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:31.183210, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:34.393245, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:37.633267, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:40.844224, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:44.123081, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:47.343195, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:50.570069, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:53.825268, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:38:57.050860, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:39:00.283379, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:39:03.503273, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:39:06.745335, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:39:09.951256, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:39:13.171135, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
2024-07-19 15:39:16.380631, Baxter, [[3.7259475e-04 3.7968632e-02 8.2655376e-08 1.0914212e-03 1.8203425e-08  9.6054274e-01 2.4538471e-05]], -100.0, -100.0, -100.0
